program,chain_name,chain_id,round_name,round_id,matching_pool,starting_time
GG18,OP,10,Web3 Open Source Software,0x8de918F0163b2021839A8D84954dD7E8e151326D,300000,8/15/2023 12:00
GG18,OP,10,Climate Solutions,0xb6Be0eCAfDb66DD848B0480db40056Ff94A9465d,250000,8/15/2023 12:00
GG18,OP,10,Web3 Community & Education,0x2871742B184633f8DC8546c6301cbC209945033e,250000,8/15/2023 12:00
GG18,PGN,424,Ethereum Infrastructure ,0x222EA76664ED77D18d4416d2B2E77937b76f0a35,200000,8/15/2023 12:00
GG18,OP,10,ReFi DAO Local Node,0x10be322DE44389DeD49c0b2b73d8c3A1E3B6D871,30000,8/15/2023 12:00
GG18,OP,10,Zuzalu Continuous Innovation,0x5B95acf46c73Fd116F0fEDADcBEDF453530e35d0/,25000,8/15/2023 12:00
GG18,OP,10,Token Engineering,0xc5FdF5cFf79e92FAc1d6Efa725c319248D279200,25000,8/15/2023 12:00
GG18,OP,10,Meta Pool LatAm GG18,0xf591E42dfDfE8E62C2085CCaAdFE05F84D89D0c6,25000,8/15/2023 12:00
GG18,OP,10,Web3 Social,0x9331FDe4Db7b9d9d1498C09d30149929f24cF9D5,25000,8/15/2023 12:00
GG18,OP,10,Global Chinese Community,0x30C381033aA2830cEB0aA372C2e4D28F004b3DB9,25000,8/15/2023 12:00
GG18,ETH,1,Arbitrum Domain,0x69e423181f1D3E6BEbF8aB88030C36DA73785f26,100000,8/15/2023 12:00
Beta,ETH,1,Web3 Open Source Software Round,0x12BB5bBbFE596dbc489d209299B8302c3300fa40,350000,4/25/2023 12:00
Beta,ETH,1,Ethereum Infrastructure,0xdf22a2C8F6BA9376fF17EE13E6154B784ee92094,200000,4/25/2023 12:00
Beta,ETH,1,ZK Tech Round,0x274554EB289004e15A7679123901B7F070dDa0fa,150000,4/25/2023 12:00
Beta,ETH,1,Web3 Community and Education,0xAA40E2E5c8df03d792A52B5458959C320F86ca18,200000,4/25/2023 12:00
Beta,ETH,1,Climate Solutions,0x421510312C40486965767be5Ea603Aa8a5707983,350000,4/25/2023 12:00
Beta,ETH,1,Metacrisis,0x8aA06b3b8cAc2970857F4E0fD78F21dc01AAdE94,25000,4/25/2023 12:00
Beta,ETH,1,The Phantom Menace,0x905eFBaBe2d52cD648FAdfafCeC8D6C8c60F7423,25000,4/25/2023 12:00
Beta,ETH,1,Token Engineering,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,25000,4/25/2023 12:00
Beta,ETH,1,Web3 Social,0x9C3B81967EafBA0a451E324417DD4F3F353b997b,50000,4/25/2023 12:00
Beta,ETH,1,Mantle Grants 1,0xF1C021DF6Dc6b2dC2E5A837CDFDDC2f42503233B,50000,4/25/2023 12:00
Beta,ETH,1,DeSci (Decentralized Science),0x6e8dC2e623204D61b0E59E668702654aE336c9f7,85000,4/25/2023 12:00
Beta,ETH,1,ENS Ecosystem,0x64E5b2228eF31437909900B38fC42Dd5E4B83147,50000,4/25/2023 12:00
Beta,ETH,1,Global Chinese Community beta round,0x859FaeAa266BA13bd1E72eB6dd7A223902d1adFE,25000,4/25/2023 12:00
Beta,ETH,1,Crypto Advocacy,0x32c49d2dA5f6866a057e4aA2058c62A2974a5623,100000,4/25/2023 12:00
Beta,ETH,1,ReFi Local Nodes,0x64aa545C9C63944f8e765d9a65eda3cbbDc6e620,25000,4/25/2023 12:00